"Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","TotalPages","TotalDuration","EngagementRatio","BounceExitSpread","SessionScore","Season","DurationGroup","Cluster"
2,53,0,0,23,1668.285119,0.008333333,0.016312636,0,0,"Feb","1","1","9","3","Returning_Visitor","FALSE","FALSE",25,1721.285119,0,0.007979303,0,"Winter","Long","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","4","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,13,334.9666667,0,0.007692308,0,0,"Feb","1","1","1","4","Returning_Visitor","TRUE","FALSE",13,334.9666667,0,0.007692308,0,"Winter","Medium","4"
0,0,0,0,2,32,0,0.1,0,0,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",2,32,0,0.1,0,"Winter","Short","4"
0,0,0,0,20,2981.166667,0,0.01,0,0,"Feb","2","4","4","4","Returning_Visitor","FALSE","FALSE",20,2981.166667,0,0.01,0,"Winter","Long","4"
0,0,0,0,8,136.1666667,0,0.008333333,0,1,"Feb","2","2","5","1","Returning_Visitor","TRUE","FALSE",8,136.1666667,0,0.008333333,0,"Winter","Short","2"
0,0,0,0,2,0,0.2,0.2,0,0,"Feb","3","3","1","3","Returning_Visitor","FALSE","FALSE",2,0,0,0,0,"Winter","Zero","3"
0,0,0,0,3,105,0,0.033333333,0,0,"Feb","3","2","1","5","Returning_Visitor","FALSE","FALSE",3,105,0,0.033333333,0,"Winter","Short","4"
0,0,0,0,2,15,0,0.1,0,0.8,"Feb","2","4","1","3","Returning_Visitor","FALSE","FALSE",2,15,0,0.1,0,"Winter","Short","2"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","2","2","4","1","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,5,156,0,0.04,0,0,"Feb","1","1","9","3","Returning_Visitor","FALSE","FALSE",5,156,0,0.04,0,"Winter","Short","4"
4,64.6,0,0,32,1135.444444,0.002857143,0.00952381,0,0,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",36,1200.044444,0,0.006666667,0,"Winter","Long","4"
0,0,0,0,4,76,0.05,0.1,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",4,76,0,0.05,0,"Winter","Short","4"
0,0,0,0,4,63,0,0.05,0,0.2,"Feb","2","6","1","3","Returning_Visitor","FALSE","FALSE",4,63,0,0.05,0,"Winter","Short","4"
1,6,1,0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,"Feb","3","2","1","1","Returning_Visitor","FALSE","FALSE",47,1588.75,1.15276094170213,0.007342995,49.1903553407489,"Winter","Long","2"
0,0,0,0,2,35,0,0.1,0,0,"Feb","1","1","6","3","Returning_Visitor","FALSE","FALSE",2,35,0,0.1,0,"Winter","Short","4"
0,0,0,0,3,78,0,0.066666667,0,0,"Feb","1","2","6","6","Returning_Visitor","TRUE","FALSE",3,78,0,0.066666667,0,"Winter","Short","4"
0,0,0,0,8,209.5,0,0.025,0,0,"Feb","2","2","1","1","Returning_Visitor","FALSE","FALSE",8,209.5,0,0.025,0,"Winter","Short","4"
0,0,0,0,10,183.6666667,0.04,0.08,0,0,"Feb","1","1","3","1","Returning_Visitor","FALSE","FALSE",10,183.6666667,0,0.04,0,"Winter","Short","4"
0,0,0,0,14,380.5,0.014285714,0.028571429,0,0,"Feb","2","2","1","1","Returning_Visitor","FALSE","FALSE",14,380.5,0,0.014285715,0,"Winter","Medium","4"
0,0,0,0,52,2086.242857,0.015384615,0.020352564,0,0,"Feb","2","2","7","1","Returning_Visitor","FALSE","FALSE",52,2086.242857,0,0.004967949,0,"Winter","Long","4"
0,0,0,0,8,388,0.025,0.05625,0,0,"Feb","3","2","1","4","Returning_Visitor","TRUE","FALSE",8,388,0,0.03125,0,"Winter","Medium","4"
2,18,0,0,5,298,0,0.028571429,0,0.8,"Feb","2","2","8","4","Returning_Visitor","FALSE","FALSE",7,316,0,0.028571429,0,"Winter","Medium","2"
0,0,0,0,7,63,0.028571429,0.071428571,0,0.6,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",7,63,0,0.042857142,0,"Winter","Short","2"
0,0,0,0,9,482,0,0.022222222,0,0,"Feb","2","5","1","6","Returning_Visitor","FALSE","FALSE",9,482,0,0.022222222,0,"Winter","Medium","4"
1,9,0,0,46,4084.393939,0,0.001794872,0,0,"Feb","2","2","8","4","Returning_Visitor","FALSE","FALSE",47,4093.393939,0,0.001794872,0,"Winter","Very Long","4"
0,0,0,0,3,22,0,0.066666667,0,0.6,"Feb","1","1","3","2","Returning_Visitor","FALSE","FALSE",3,22,0,0.066666667,0,"Winter","Short","2"
0,0,0,0,15,310.1666667,0,0.006666667,0,0,"Feb","1","1","4","4","Returning_Visitor","FALSE","FALSE",15,310.1666667,0,0.006666667,0,"Winter","Medium","4"
0,0,0,0,2,34,0,0.05,0,0.4,"Feb","3","2","2","3","Returning_Visitor","FALSE","FALSE",2,34,0,0.05,0,"Winter","Short","2"
0,0,0,0,4,88,0,0.05,0,0,"Feb","4","1","1","3","Returning_Visitor","FALSE","FALSE",4,88,0,0.05,0,"Winter","Short","4"
0,0,0,0,22,622.25,0.003030303,0.006060606,0,0.2,"Feb","2","5","1","4","Returning_Visitor","FALSE","FALSE",22,622.25,0,0.003030303,0,"Winter","Medium","4"
0,0,0,0,14,222.4,0.017142857,0.057142857,0,0,"Feb","1","1","1","2","Returning_Visitor","FALSE","FALSE",14,222.4,0,0.04,0,"Winter","Short","4"
0,0,0,0,3,80,0.066666667,0.133333333,0,0.2,"Feb","3","2","1","3","Returning_Visitor","FALSE","FALSE",3,80,0,0.066666666,0,"Winter","Short","4"
0,0,0,0,11,800.8333333,0,0.003636364,0,0,"Feb","3","2","1","3","Returning_Visitor","FALSE","FALSE",11,800.8333333,0,0.003636364,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0.6,"Feb","2","2","3","2","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","3","4","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,12,265.1666667,0.011111111,0.026111111,0,0.2,"Feb","3","2","1","3","Returning_Visitor","FALSE","FALSE",12,265.1666667,0,0.015,0,"Winter","Short","4"
0,0,0,0,2,29,0,0.1,0,1,"Feb","2","4","4","2","Returning_Visitor","TRUE","FALSE",2,29,0,0.1,0,"Winter","Short","2"
0,0,0,0,4,160,0,0.075,0,0,"Feb","4","2","2","3","Returning_Visitor","FALSE","FALSE",4,160,0,0.075,0,"Winter","Short","4"
0,0,0,0,4,135.6666667,0.05,0.025,0,0.4,"Feb","3","3","1","4","Returning_Visitor","FALSE","FALSE",4,135.6666667,0,-0.025,0,"Winter","Short","2"
0,0,0,0,1,0,0.2,0.2,0,0.2,"Feb","2","4","1","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,1,0,0.2,0.2,0,0.6,"Feb","3","2","3","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
4,56,2,120,36,998.7416667,0,0.014736467,19.44707913,0.2,"Feb","2","2","4","1","Returning_Visitor","FALSE","FALSE",42,1174.7416667,0.463025693571429,0.014736467,19.1604978901544,"Winter","Long","4"
0,0,0,0,4,104,0,0.05,0,0.4,"Feb","2","6","6","3","Returning_Visitor","FALSE","FALSE",4,104,0,0.05,0,"Winter","Short","2"
2,16,0,0,16,381.6865079,0.011764706,0.046568627,0,0.6,"Feb","2","4","2","1","Returning_Visitor","FALSE","FALSE",18,397.6865079,0,0.034803921,0,"Winter","Medium","2"
0,0,0,0,6,169,0,0.016666667,0,0.4,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",6,169,0,0.016666667,0,"Winter","Short","2"
0,0,0,0,8,400.8,0.05,0.120833333,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",8,400.8,0,0.070833333,0,"Winter","Medium","4"
12,279.4166667,0,0,42,1553.583333,0.009,0.019666667,38.30849268,0,"Feb","1","1","3","2","Returning_Visitor","FALSE","FALSE",54,1832.9999997,0.709416531111111,0.010666667,37.2170964803898,"Winter","Long","4"
0,0,0,0,14,706.5,0,0.007142857,0,0,"Feb","2","2","5","4","Returning_Visitor","TRUE","FALSE",14,706.5,0,0.007142857,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","2","2","4","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
3,87.83333333,0,0,27,798.3333333,0,0.012643678,22.9160357,0.8,"Feb","2","2","3","1","Returning_Visitor","FALSE","TRUE",30,886.16666663,0.763867856666667,0.012643678,22.6262927235727,"Winter","Medium","2"
4,44,0,0,90,6951.972222,0.002150538,0.015013034,0,0,"Feb","4","1","1","3","Returning_Visitor","FALSE","FALSE",94,6995.972222,0,0.012862496,0,"Winter","Very Long","1"
0,0,0,0,1,0,0.2,0.2,0,0.6,"Feb","2","2","5","1","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,18,902,0,0.007407407,0,0,"Feb","2","7","2","4","Returning_Visitor","FALSE","FALSE",18,902,0,0.007407407,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0.2,"Feb","3","2","3","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","2","6","1","2","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,20,197.3777778,0.025,0.0525,0,0,"Feb","2","6","6","1","Returning_Visitor","FALSE","FALSE",20,197.3777778,0,0.0275,0,"Winter","Short","4"
0,0,0,0,2,43,0,0.1,0,0.4,"Feb","2","2","3","3","Returning_Visitor","FALSE","FALSE",2,43,0,0.1,0,"Winter","Short","2"
0,0,0,0,8,426.6666667,0,0.0125,0,0,"Feb","2","4","3","2","Returning_Visitor","FALSE","FALSE",8,426.6666667,0,0.0125,0,"Winter","Medium","4"
0,0,0,0,3,135,0,0.066666667,0,0,"Feb","2","4","3","3","Returning_Visitor","FALSE","FALSE",3,135,0,0.066666667,0,"Winter","Short","4"
0,0,0,0,16,588.3333333,0,0.025,0,0,"Feb","2","4","1","1","Returning_Visitor","FALSE","FALSE",16,588.3333333,0,0.025,0,"Winter","Medium","4"
10,1005.666667,0,0,36,2111.341667,0.004347826,0.014492754,11.43941195,0,"Feb","2","6","1","2","Returning_Visitor","FALSE","TRUE",46,3117.008334,0.248682868478261,0.010144928,11.224607613916,"Winter","Very Long","4"
0,0,0,0,2,76,0,0.05,0,0.6,"Feb","3","2","3","3","Returning_Visitor","FALSE","FALSE",2,76,0,0.05,0,"Winter","Short","2"
0,0,0,0,1,0,0.2,0.2,0,1,"Feb","1","1","1","3","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","2"
0,0,0,0,1,0,0.2,0.2,0,0.4,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,7,208,0,0.028571429,0,0,"Feb","4","1","1","5","Returning_Visitor","TRUE","FALSE",7,208,0,0.028571429,0,"Winter","Short","4"
0,0,0,0,4,270,0,0.016666667,0,0.8,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",4,270,0,0.016666667,0,"Winter","Short","2"
0,0,0,0,6,39.5,0,0.02,0,0,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",6,39.5,0,0.02,0,"Winter","Short","4"
0,0,0,0,12,375,0.016666667,0.058333333,0,0,"Feb","3","2","4","1","Returning_Visitor","FALSE","FALSE",12,375,0,0.041666666,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0.8,"Feb","2","2","2","1","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","2"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,7,150,0.057142857,0.085714286,0,0,"Feb","2","2","2","1","Returning_Visitor","FALSE","FALSE",7,150,0,0.028571429,0,"Winter","Short","4"
0,0,0,0,3,138,0,0.066666667,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",3,138,0,0.066666667,0,"Winter","Short","4"
0,0,0,0,7,337.5,0.028571429,0.023809524,0,0.4,"Feb","4","1","3","3","Returning_Visitor","FALSE","FALSE",7,337.5,0,-0.004761905,0,"Winter","Medium","2"
0,0,0,0,19,620.0333333,0,0.007894737,0,0,"Feb","1","1","4","2","Returning_Visitor","FALSE","FALSE",19,620.0333333,0,0.007894737,0,"Winter","Medium","4"
2,36,0,0,15,168.8461538,0,0.011764706,0,0.4,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",17,204.8461538,0,0.011764706,0,"Winter","Short","2"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","1","2","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,2,52,0,0.1,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",2,52,0,0.1,0,"Winter","Short","4"
0,0,0,0,13,649.25,0,0.015384615,0,0,"Feb","2","2","1","5","New_Visitor","FALSE","FALSE",13,649.25,0,0.015384615,0,"Winter","Medium","4"
0,0,0,0,27,925.3333333,0.003703704,0.025925926,0,0.6,"Feb","4","1","3","3","Returning_Visitor","FALSE","FALSE",27,925.3333333,0,0.022222222,0,"Winter","Medium","2"
0,0,0,0,2,33,0,0.1,0,0.2,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",2,33,0,0.1,0,"Winter","Short","4"
0,0,0,0,6,1566.5,0.05,0.066666667,0,0.2,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",6,1566.5,0,0.016666667,0,"Winter","Long","4"
0,0,0,0,4,105,0,0.025,0,0.6,"Feb","1","1","1","4","Returning_Visitor","FALSE","FALSE",4,105,0,0.025,0,"Winter","Short","2"
0,0,1,0,7,50,0.038095238,0.080952381,0,0.6,"Feb","2","4","1","7","Returning_Visitor","FALSE","FALSE",8,50,0,0.042857143,0,"Winter","Short","2"
0,0,0,0,16,644.2,0.004166667,0.031666667,0,0,"Feb","3","2","3","4","Returning_Visitor","FALSE","FALSE",16,644.2,0,0.0275,0,"Winter","Medium","4"
3,18.33333333,0,0,38,2635.177778,0,0.008947368,0,0.4,"Feb","2","4","1","2","Returning_Visitor","FALSE","FALSE",41,2653.51111133,0,0.008947368,0,"Winter","Long","2"
4,61,0,0,19,607,0,0.026984127,17.53595893,1,"Feb","1","1","7","4","Returning_Visitor","TRUE","TRUE",23,668,0.762432996956522,0.026984127,17.0627663871661,"Winter","Medium","2"
0,0,0,0,6,415,0,0.033333333,0,0.4,"Feb","1","1","3","2","Returning_Visitor","FALSE","FALSE",6,415,0,0.033333333,0,"Winter","Medium","2"
2,31,1,16,36,2083.530952,0,0.01351025,0,0.8,"Feb","2","2","4","3","Returning_Visitor","FALSE","FALSE",39,2130.530952,0,0.01351025,0,"Winter","Long","2"
3,58.5,0,0,17,281.6666667,0.007058824,0.017647059,0,0,"Feb","1","1","3","4","Returning_Visitor","FALSE","FALSE",20,340.1666667,0,0.010588235,0,"Winter","Medium","4"
0,0,0,0,2,27,0.15,0.15,0,0,"Feb","1","1","7","2","Returning_Visitor","FALSE","FALSE",2,27,0,0,0,"Winter","Short","3"
0,0,1,0,9,215,0.044444444,0.074074074,0,0.8,"Feb","4","1","1","3","Returning_Visitor","FALSE","FALSE",10,215,0,0.02962963,0,"Winter","Short","2"
0,0,0,0,12,162,0.05,0.066666667,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",12,162,0,0.016666667,0,"Winter","Short","4"
0,0,0,0,2,114,0.05,0.066666667,0,0.8,"Feb","3","3","1","3","Returning_Visitor","FALSE","FALSE",2,114,0,0.016666667,0,"Winter","Short","2"
6,326.25,4,94,128,5062.213753,0.000854701,0.01791847,0,0,"Feb","2","5","1","3","Returning_Visitor","FALSE","FALSE",138,5482.463753,0,0.017063769,0,"Winter","Very Long","1"
0,0,0,0,4,253,0,0.016666667,0,0.6,"Feb","2","2","3","3","Returning_Visitor","FALSE","FALSE",4,253,0,0.016666667,0,"Winter","Short","2"
0,0,0,0,4,0,0.2,0.2,0,0.4,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",4,0,0,0,0,"Winter","Zero","3"
0,0,0,0,1,0,0.2,0.2,0,0.8,"Feb","1","1","2","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","2"
2,22,0,0,25,436.5,0.008,0.024,0,0.2,"Feb","2","4","1","1","Returning_Visitor","FALSE","FALSE",27,458.5,0,0.016,0,"Winter","Medium","4"
0,0,1,93,30,1045.833333,0.012903226,0.035483871,0,0.2,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",31,1138.833333,0,0.022580645,0,"Winter","Long","4"
0,0,0,0,12,317.8333333,0,0.005555556,0,0,"Feb","1","1","1","4","Returning_Visitor","TRUE","FALSE",12,317.8333333,0,0.005555556,0,"Winter","Medium","4"
0,0,0,0,21,1146.333333,0,0.012962963,0,0.8,"Feb","3","2","1","3","Returning_Visitor","FALSE","FALSE",21,1146.333333,0,0.012962963,0,"Winter","Long","2"
0,0,0,0,11,577,0.018181818,0.027272727,0,0.2,"Feb","2","2","3","1","Returning_Visitor","FALSE","FALSE",11,577,0,0.009090909,0,"Winter","Medium","4"
0,0,0,0,8,95,0,0.075,0,0,"Feb","4","1","3","3","Returning_Visitor","FALSE","FALSE",8,95,0,0.075,0,"Winter","Short","4"
0,0,0,0,6,301.5,0,0.111111111,0,0,"Feb","2","4","9","3","Returning_Visitor","FALSE","FALSE",6,301.5,0,0.111111111,0,"Winter","Medium","4"
0,0,0,0,6,243,0,0.033333333,0,0,"Feb","2","4","4","1","Returning_Visitor","FALSE","FALSE",6,243,0,0.033333333,0,"Winter","Short","4"
0,0,0,0,4,135.5,0,0.05,0,0.6,"Feb","2","2","1","2","Returning_Visitor","FALSE","FALSE",4,135.5,0,0.05,0,"Winter","Short","2"
0,0,2,75,14,442.3333333,0,0.034375,0,0.8,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",16,517.3333333,0,0.034375,0,"Winter","Medium","2"
0,0,0,0,3,41,0,0.066666667,0,0,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",3,41,0,0.066666667,0,"Winter","Short","4"
0,0,0,0,11,292.9,0.028,0.11952381,0,0,"Feb","2","4","3","1","Returning_Visitor","FALSE","FALSE",11,292.9,0,0.09152381,0,"Winter","Short","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,9,1238.333333,0,0.040740741,0,0.4,"Feb","2","2","1","3","Returning_Visitor","FALSE","FALSE",9,1238.333333,0,0.040740741,0,"Winter","Long","2"
0,0,0,0,10,225.4666667,0,0.05,0,0.4,"Feb","1","1","8","3","Returning_Visitor","FALSE","FALSE",10,225.4666667,0,0.05,0,"Winter","Short","2"
4,462,0,0,51,1873.216667,0,0.00754717,0,0.6,"Feb","2","2","9","3","Returning_Visitor","FALSE","FALSE",55,2335.216667,0,0.00754717,0,"Winter","Long","2"
0,0,0,0,3,13,0.133333333,0.166666667,0,0,"Feb","2","4","1","1","Returning_Visitor","FALSE","FALSE",3,13,0,0.033333334,0,"Winter","Short","3"
0,0,0,0,2,222,0,0.1,0,0,"Feb","2","6","1","2","Returning_Visitor","TRUE","FALSE",2,222,0,0.1,0,"Winter","Short","4"
2,20,0,0,16,214.8333333,0,0.022222222,0,0,"Feb","2","2","1","6","Returning_Visitor","FALSE","FALSE",18,234.8333333,0,0.022222222,0,"Winter","Short","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","3","2","3","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,6,2017.166667,0,0.011111111,0,0.8,"Feb","2","2","4","3","Returning_Visitor","FALSE","FALSE",6,2017.166667,0,0.011111111,0,"Winter","Long","2"
6,111.5,0,0,26,449.0277778,0,0.018518519,0,0.6,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",32,560.5277778,0,0.018518519,0,"Winter","Medium","2"
0,0,0,0,6,158.1666667,0,0.033333333,0,0,"Feb","3","2","4","2","Returning_Visitor","FALSE","FALSE",6,158.1666667,0,0.033333333,0,"Winter","Short","4"
0,0,0,0,9,303.6666667,0.005555556,0.046296296,0,0,"Feb","2","4","5","2","Returning_Visitor","FALSE","FALSE",9,303.6666667,0,0.04074074,0,"Winter","Medium","4"
0,0,0,0,3,25,0,0.066666667,0,0,"Feb","2","4","1","5","Returning_Visitor","FALSE","FALSE",3,25,0,0.066666667,0,"Winter","Short","4"
0,0,0,0,2,42,0.05,0.15,0,0.4,"Feb","2","2","1","4","Returning_Visitor","FALSE","FALSE",2,42,0,0.1,0,"Winter","Short","2"
4,103.625,0,0,14,1003.416667,0,0.018039216,0,0.2,"Feb","1","1","3","3","Returning_Visitor","FALSE","FALSE",18,1107.041667,0,0.018039216,0,"Winter","Long","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","2","2","7","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,9,272.5,0,0.011851852,0,0.2,"Feb","1","1","6","3","Returning_Visitor","FALSE","FALSE",9,272.5,0,0.011851852,0,"Winter","Short","4"
3,19,0,0,8,344,0,0.007407407,0,0,"Feb","2","4","2","3","Returning_Visitor","FALSE","FALSE",11,363,0,0.007407407,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","2","2","2","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,1,19,10,852,0,0.009090909,0,0,"Feb","2","2","3","6","Returning_Visitor","FALSE","FALSE",11,871,0,0.009090909,0,"Winter","Medium","4"
0,0,0,0,3,780,0.066666667,0.066666667,0,0.4,"Feb","2","4","1","3","Returning_Visitor","FALSE","FALSE",3,780,0,0,0,"Winter","Medium","2"
0,0,0,0,3,1038,0,0.033333333,0,0,"Feb","2","2","1","1","Returning_Visitor","FALSE","FALSE",3,1038,0,0.033333333,0,"Winter","Long","4"
0,0,0,0,4,573,0,0.05,0,0,"Feb","2","2","3","3","Returning_Visitor","FALSE","FALSE",4,573,0,0.05,0,"Winter","Medium","4"
0,0,0,0,28,1231.233333,0.007142857,0.030357143,0,0,"Feb","1","1","4","3","Returning_Visitor","FALSE","FALSE",28,1231.233333,0,0.023214286,0,"Winter","Long","4"
0,0,0,0,11,316.6666667,0,0.027272727,0,0.8,"Feb","2","2","2","1","Returning_Visitor","FALSE","FALSE",11,316.6666667,0,0.027272727,0,"Winter","Medium","2"
0,0,0,0,20,873.7365079,0.0075,0.028166667,0,0,"Feb","1","2","1","1","Returning_Visitor","FALSE","FALSE",20,873.7365079,0,0.020666667,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0.4,"Feb","2","2","3","4","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,4,16,0.1,0.15,0,0,"Feb","2","5","5","1","Returning_Visitor","FALSE","FALSE",4,16,0,0.05,0,"Winter","Short","3"
0,0,0,0,19,615,0,0.026315789,0,0.2,"Feb","2","2","3","3","Returning_Visitor","FALSE","FALSE",19,615,0,0.026315789,0,"Winter","Medium","4"
0,0,0,0,9,261.75,0,0.026666667,0,0,"Feb","2","6","1","1","Returning_Visitor","FALSE","FALSE",9,261.75,0,0.026666667,0,"Winter","Short","4"
0,0,0,0,21,615.8831169,0.033333333,0.04993081,0,0,"Feb","3","2","2","1","Returning_Visitor","TRUE","FALSE",21,615.8831169,0,0.016597477,0,"Winter","Medium","4"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","3","3","3","2","Returning_Visitor","TRUE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,6,117.5,0,0.033333333,0,0.8,"Feb","1","1","1","3","Returning_Visitor","TRUE","FALSE",6,117.5,0,0.033333333,0,"Winter","Short","2"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","1","1","1","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
0,0,0,0,1,0,0.2,0.2,0,0,"Feb","3","2","3","3","Returning_Visitor","FALSE","FALSE",1,0,0,0,0,"Winter","Zero","3"
